SHOT_DIST,CLOSE_DEF_DIST,SHOT_CLOCK,PERIOD,is_home,is_3pt,is_paint,is_midrange,is_4q,is_ot,time_pressure,defender_pressure,open_shot,dist_x_defender,dist_x_time,pressure_x_3pt,shot_difficulty,made
7.7,1.3,10.8,1,0,0,0,1,0,1,0,1,0,10.01,83.16000000000001,0,1.9048148148148147,1
28.2,6.1,3.4,1,0,1,0,0,0,1,1,0,1,172.01999999999998,95.88,0,2.385632798573975,0
10.1,0.9,,1,0,0,0,1,0,1,0,1,0,9.09,,0,,0
17.2,3.4,10.3,2,0,0,0,1,0,1,0,0,0,58.48,177.16,0,1.9268309683843665,0
3.7,1.1,10.9,2,0,0,1,0,0,1,0,1,0,4.07,40.330000000000005,0,1.8400764525993882,0
18.4,2.6,9.1,2,0,0,0,1,0,1,0,0,0,47.839999999999996,167.43999999999997,0,2.0458040883847337,0
20.7,6.1,14.5,4,0,0,0,1,1,0,0,0,1,126.26999999999998,300.15,0,1.9104806687565308,0
3.5,2.1,3.4,4,0,0,1,0,1,0,1,0,0,7.3500000000000005,11.9,0,1.7953996983408749,1
24.6,7.3,12.4,4,0,1,0,0,1,0,0,0,1,179.58,305.04,0,2.028850289495451,0
22.4,19.8,17.4,2,1,0,0,1,0,1,0,0,1,443.52,389.75999999999993,0,1.853399014778325,0
24.5,4.7,16.0,2,1,1,0,0,0,1,0,0,0,115.15,392.0,0,2.071474358974359,0
14.6,1.8,12.1,4,1,0,0,1,1,0,0,1,0,26.28,176.66,0,2.0040939034614924,1
5.9,5.4,4.3,4,1,0,0,1,1,0,0,0,0,31.860000000000003,25.37,0,1.5987163316252793,1
26.4,4.4,4.4,4,0,1,0,0,1,0,0,0,0,116.16,116.16,0,2.3113543599257884,0
22.8,5.3,6.8,1,0,0,0,1,0,1,0,0,0,120.84,155.04,0,2.07947261663286,0
24.7,5.6,6.4,2,0,1,0,0,0,1,0,0,0,138.32,158.08,0,2.1435177595628416,1
25.0,5.4,17.6,2,0,1,0,0,0,1,0,0,0,135.0,440.00000000000006,0,2.059643040575244,0
25.6,5.1,8.7,4,0,1,0,0,1,0,0,0,0,130.56,222.72,0,2.146847290640394,0
24.2,11.1,20.8,4,0,1,0,0,1,0,0,0,1,268.62,503.36,0,1.940950486295314,1
25.4,3.5,17.5,1,0,1,0,0,0,1,0,0,0,88.89999999999999,444.5,0,2.1538095238095236,0
19.1,4.0,19.5,1,0,0,0,1,0,1,0,0,0,76.4,372.45000000000005,0,1.9101709401709401,1
14.8,5.4,6.0,2,0,0,0,1,0,1,0,0,0,79.92000000000002,88.80000000000001,0,1.829491525423729,1
25.2,3.7,15.7,2,0,1,0,0,0,1,0,0,0,93.24,395.64,0,2.1417895056111615,0
22.8,5.1,11.2,2,0,0,0,1,0,1,0,0,0,116.28,255.35999999999999,0,2.027857142857143,1
25.2,3.6,,2,0,1,0,0,0,1,0,0,0,90.72,,0,,0
